Vrsta dela,Naslov oglasa,Kraj,Placilo,Prosta mesta,Trajanje,Delovnik,Začetek dela
ADMINISTRATIVNA DELA,Brez naslova,LJUBLJANA,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
UREDNIK SPLETNIH VSEBIN,OPTIMIZACIJA,LJUBLJANA,9.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
ADMINISTRATIVNA DELA,KADROVSKA DELA,LJUBLJANA,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
POMOČ V STREŽBI,Brez naslova,HAJDOŠE,8.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
STREŽBA,Brez naslova,HOMEC,8.0,Brez podatka,PO DOGOVORU,PO DOGOVORU,Brez podatka
GRADBENA DELA,ORGANIZIRANJE GRADBIŠČA,PTUJ,7.31,2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
KLICNI CENTER,Brez naslova,LJUBLJANA,6.32,5,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
DELO V VELNESU,DELO S STRANKAMI,LJUBLJANA,7.1,2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,1. 9. 2025
STREŽBA HRANE IN PIJAČE,Brez naslova,KOPER,8.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
FIZIČNA DELA,KROVSKA DELA,ŠENČUR,7.0,Brez podatka,POČITNIŠKO DELO,DOPOLDAN,Brez podatka
DELO NA BENCINSKEM SERVISU,Brez naslova,DUTOVLJE,8.24,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
STREŽBA HRANE IN PIJAČE,Brez naslova,MARIBOR,7.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
LAŽJA FIZIČNA DELA,DELO V PRALNICI,MENGEŠ,7.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
DELO NA RECEPCIJI,Brez naslova,LJUBLJANA,7.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
TELEFONSKI MARKETING,Brez naslova,LJUBLJANA,10.0,5,PO DOGOVORU,PO DOGOVORU,Brez podatka
DELO V KUHINJI,Brez naslova,SEŽANA,7.74,2,SEPTEMBER 2025,PO DOGOVORU,1. 9. 2025
POUČEVANJE,Brez naslova,LJUBLJANA,12.91,2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,1. 9. 2025
SOBAR/ICA,Brez naslova,SEŽANA,7.74,2,SEPTEMBER 2025,DOPOLDAN,1. 9. 2025
POMOČ V KUHINJI,POMIVALEC,LJUBLJANA,6.32,3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
ADMINISTRATIVNA DELA,KADROVSKA DELA,CELJE,6.32,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
DELO NA RECEPCIJI,Brez naslova,SEŽANA,8.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
DELO Z OTROKI,POMOČNIK/CA TRENERJA,JESENICE,9.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,11. 9. 2025
TRŽENJE,PRODAJA NA TERENU,PRIMORSKA,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
KOZMETIČNE STORITVE,Brez naslova,LJUBLJANA,11.19,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
DELO Z UMETNO INTELIGENCO,DELO ZA SPLETNO TRGOVINO,LJUBLJANA,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
DELO V SKLADIŠČU,POMOČ V SKLADIŠČU IN PROD. CENTRIH,PREBOLD,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
DELO V SKLADIŠČU,POMOČ V SKLADIŠČU IN PROD. CENTRIH,NAZARJE,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
PRODAJA,Brez naslova,LJUBLJANA,7.0,2,PO DOGOVORU,IZMENSKO,1. 9. 2025
DELO NA TERENU,VOZNIK,LJUBLJANA,6.32,15,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
STREŽBA,PRODAJA SLADOLEDA,POSTOJNA,7.12,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
STREŽBA,Brez naslova,LJUBLJANA,10.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
PROGRAMIRANJE,Brez naslova,LJUBLJANA,9.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POMOČ V KUHINJI,PRIPRAVA HRANE,LJUBLJANA,8.5,4,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
PROGRAMIRANJE,Brez naslova,MARIBOR,10.0,4,PO DOGOVORU,PO DOGOVORU,22. 9. 2025
SNEMANJE IN UREJANJE KRATKIH VIDEOV,VIDEO MONTAŽA,MARIBOR,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
PRODAJA,Brez naslova,LJUBLJANA,6.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,1. 9. 2025
ADMINISTRATIVNA DELA,RAČUNOVODSKA DELA,TRZIN,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
ADMINISTRATIVNA DELA,ANALIZA,LJUBLJANA,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
STREŽBA,Brez naslova,LJUBLJANA,7.0,4,PO DOGOVORU,PO DOGOVORU,Brez podatka
ADMINISTRATIVNA DELA,KADROVSKA DELA,LJUBLJANA,6.62,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,29. 9. 2025
STREŽBA,Brez naslova,ROGAŠKA,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
STROKOVNO DELO,RAZVOJ,VELENJE,7.48,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 10. 2025
PRAVNE STORITVE,Brez naslova,MARIBOR,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
PRODAJA,DELO V TRAFIKI,SEŽANA,7.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
STROKOVNO DELO,RAZVOJ,GROSUPLJE,9.47,2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
ZDRAVSTVENA NEGA,OSKRBA STAREJŠIH NA DOMU,LJUBLJANA,15.0,Brez podatka,PO DOGOVORU,PO DOGOVORU,Brez podatka
ZDRAVSTVENA NEGA,OSKRBA STAREJŠIH NA DOMU,MARIBOR,12.75,Brez podatka,PO DOGOVORU,PO DOGOVORU,Brez podatka
MARKETING,Brez naslova,DELO OD DOMA,7.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
ZDRAVSTVENA NEGA,Brez naslova,IZOLA,7.64,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
DEMONSTRATOR/KA,Brez naslova,LJUBLJANA,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 10. 2025
DELO NA BENCINSKEM SERVISU,Brez naslova,JURŠINCI,7.3,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
RAZVOZ,HIŠNIK,PIRAN,8.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
TEŽJA FIZIČNA DELA,KROVSKA DELA,RIBNICA,10.33,2,PO DOGOVORU,DOPOLDAN,Brez podatka
KOMERCIALNA DELA,DELO V NABAVNEM ODDELKU,LJUBLJANA,6.37,2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
PRODAJA,Brez naslova,NOVO MESTO,7.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA,Brez naslova,KAMNIK,8.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,1. 9. 2025
ANIMATOR/KA,Brez naslova,LJUBLJANA,7.0,10,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,1. 9. 2025
ANIMATOR/KA,Brez naslova,LJUBLJANA,7.0,10,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,1. 9. 2025
POMOČ V TRGOVINI,Brez naslova,POSTOJNA,6.37,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
DELO NA RECEPCIJI,ADMINISTRATIVNA DELA,LJUBLJANA,6.45,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
STROKOVNO DELO,DELO V PISARNI,LJUBLJANA,7.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
FIZIČNA DELA,POMOČ PRI TRGATVI,SEŽANA,8.0,Brez podatka,SEPTEMBER,PO DOGOVORU,1. 9. 2025
DELO NA TERENU,ASISTENT/KA VODIJ PROJEKTOV,LJUBLJANA,8.81,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
MERITVE,DELO NA TERENU,LJUBLJANA,8.15,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
POMOČ V KUHINJI,POMIVALEC,LJUBLJANA,8.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
LAŽJA FIZIČNA DELA,POBIRANJE PARKIRNINE,KLEVEVŽ,6.5,2,PO DOGOVORU,MED VIKENDI,Brez podatka
DELO V TURIZMU,INFORMATOR/KA - TIC,SEŽANA,6.32,2,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,Brez podatka
KOZMETIČNE STORITVE,Brez naslova,GROSUPLJE,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
ASISTENT/KA V KADROVSKI SLUŽBI,Brez naslova,METLIKA,7.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
INFORMATOR/KA,VODNIK PO MUZEJU,LJUBLJANA,6.32,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
INŠTALACIJE,IZVAJANJE INŠTALACIJ,LJUBLJANA,7.74,Brez podatka,PO DOGOVORU,DOPOLDAN,Brez podatka
POMOČ V STREŽBI,Brez naslova,KAMNIK,7.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
STREŽBA,Brez naslova,LJUBLJANA,8.5,3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
KOZMETIČNE STORITVE,Brez naslova,LJUBLJANA,8.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
POMOČ V KUHINJI,Brez naslova,LJUBLJANA,8.6,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA,Brez naslova,ŠKOFJA LOKA,8.5,3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
ADMINISTRATIVNA DELA,Brez naslova,LJUBLJANA,10.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
SOBAR/ICA,Brez naslova,LJUBLJANA,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
DELO V PROIZVODNJI,DELO V SKLADIŠČU,LJUBLJANA,7.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
DELO Z UMETNO INTELIGENCO,IZDELAVA IN VZDRŽEVANJE SPLETNE STRANI,MARIBOR,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
STREŽBA,Brez naslova,LITIJA,7.5,3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
DELO NA TERENU,ELEKTROINŠTALACIJE,LITIJA,8.0,Brez podatka,PO DOGOVORU,DOPOLDAN,Brez podatka
GRAFIČNA DELA,ARHITEKTURNO DELO,LJUBLJANA,9.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
DELO V KUHINJI,ČIŠČENJE,LJUBLJANA,7.0,Brez podatka,PO DOGOVORU,PO DOGOVORU,Brez podatka
POMOČ V KUHINJI,Brez naslova,MARIBOR,7.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
RAZVOZ,DOSTAVA HRANE,CELJE,6.32,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
DELO V LOGISTIKI,Brez naslova,RAČE,7.23,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
STREŽBA,Brez naslova,LENDAVA,6.5,Brez podatka,POČITNIŠKO DELO,PO DOGOVORU,Brez podatka
BLAGAJNIK,Brez naslova,LJUBLJANA,7.74,3,POČITNIŠKO DELO OZ. PO DOGOVORU,PO DOGOVORU,Brez podatka
ADMINISTRATIVNA DELA,Brez naslova,LJUBLJANA,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
DELO NA BENCINSKEM SERVISU,Brez naslova,BERTOKI,7.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,8. 9. 2025
POMOČ V STREŽBI,Brez naslova,LJUBLJANA,8.0,4,PO DOGOVORU,POPOLDAN,Brez podatka
POMOČ PRI PRODAJI,BLAGAJNIK,LJUBLJANA,7.68,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
DELO NA TERENU,NADZOROVANJE,LJUBLJANA,9.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
PROJEKTIRANJE,Brez naslova,LJUBLJANA,7.38,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
STREŽBA,DELO V KAVARNI,ŽALEC,10.0,4,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
GRADBENA DELA,Brez naslova,TEPANJE,6.5,Brez podatka,POČITNIŠKO DELO,DOPOLDAN,Brez podatka
STREŽBA HRANE IN PIJAČE,Brez naslova,LOGATEC,7.74,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
DELO Z UMETNO INTELIGENCO,Brez naslova,MARIBOR,7.0,Brez podatka,PO DOGOVORU,DOPOLDAN,Brez podatka
POUČEVANJE,Brez naslova,LJUBLJANA,10.58,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
DELO V LABORATORIJU,Brez naslova,LJUBLJANA,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
ZDRAVSTVENA NEGA,SPREMSTVO INVALIDNE OSEBE,KOPER,15.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
STROJNIŠKA DELA,Brez naslova,LJUBLJANA,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
DELO V PROIZVODNJI,Brez naslova,ŽEJE PRI KOMENDI,7.31,5,PO DOGOVORU,IZMENSKO,Brez podatka
SPREMLJEVALEC/ SPREMLJEVALKA,OSEBNA ASISTENCA,LJUBLJANA,7.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,19. 9. 2025
"UREJANJE DRUŽ. OMREŽIJ (FB,IN,TW,TIK TOK)",Brez naslova,LJUBLJANA,6.32,Brez podatka,PO DOGOVORU,DOPOLDAN,Brez podatka
TRENER/KA,VODENJE TRENINGA,TRZIN,15.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,1. 9. 2025
UREDNIK SPLETNIH VSEBIN,ANALIZA REALIZIRANE VSEBINE,LJUBLJANA,7.31,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
DELO V DELAVNICI,AVTOMEHANIK,IMENO,7.2,2,PO DOGOVORU,PO DOGOVORU,Brez podatka
ADMINISTRATIVNA DELA,Brez naslova,KAMNICA,6.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
STREŽBA,Brez naslova,LJUBLJANA,7.5,5,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
DELO V PROIZVODNJI,Brez naslova,POLJČANE,6.32,5,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
ADMINISTRATIVNA DELA,Brez naslova,LJUBLJANA,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
ADMINISTRATIVNA DELA,STROKOVNO DELO,LJUBLJANA,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
BLAGAJNIK,POLNJENJE POLIC IN BLAGAJNIK,LJUBLJANA,7.74,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA,Brez naslova,ORMOŽ,7.0,2,PO DOGOVORU,IZMENSKO,Brez podatka
DELO V ZDRAVSTVU,ZDRAVSTVENA NEGA,LJUBLJANA,6.45,5,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
ČIŠČENJE,Brez naslova,LJUBLJANA,7.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
ELEKTROTEHNIČNA DELA,Brez naslova,SLOVENJ GRADEC,7.74,3,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
MONTAŽA,DELO NA TERENU,RADOVLJICA,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
ZDRAVSTVENA NEGA,Brez naslova,LJUBLJANA,7.37,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
TRENER/KA,POUČEVANJE PLESA,LJUBLJANA,15.0,3,PO DOGOVORU,POPOLDAN,1. 9. 2025
POUČEVANJE,POUČEVANJE PLESA,LJUBLJANA,12.5,5,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
VADITELJ/ICA,Brez naslova,JEZERSKO,12.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,17. 9. 2025
DELO V VELNESU,SAVNA MOJSTER,LJUBLJANA,7.0,3,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
SOBAR/ICA,POMOČ V STREŽBI,POSTOJNA,8.0,2,DO 30. 9. 2025,DOPOLDAN,Brez podatka
ČIŠČENJE,Brez naslova,VIPAVA,7.34,2,PO DOGOVORU,POPOLDAN,Brez podatka
POMOČ V TRGOVINI,Brez naslova,VIŠNJA GORA,7.5,Brez podatka,PO DOGOVORU,PO DOGOVORU,Brez podatka
ORGANIZACIJSKA DELA,Brez naslova,MURSKA SOBOTA,7.0,20,DO 31. 8. 2025,IZMENSKO,Brez podatka
ELEKTROTEHNIČNA DELA,Brez naslova,BREZOVICA,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
"UREJANJE DRUŽ. OMREŽIJ (FB,IN,TW,TIK TOK)",Brez naslova,KOPER,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
BLAGAJNIK,POLNJENJE POLIC,MOZIRJE,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
VADITELJ/ICA,Brez naslova,ŠENTJUR,12.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,1. 9. 2025
PROGRAMIRANJE,Brez naslova,BREZOVICA,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
DELO V KUHINJI,POMIVALEC,LIPICA,7.74,Brez podatka,SEPTEMBER 2025,IZMENSKO,1. 9. 2025
STREŽBA,Brez naslova,BREZOVICA PRI LJUBLJANI,8.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA,Brez naslova,PESNICA PRI MARIBORU,7.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
DELO V KUHINJI,Brez naslova,ŠMARJEŠKE TOPLICE,9.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
ADMINISTRATIVNA DELA,Brez naslova,LJUBLJANA,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
POMOČ V TRGOVINI,BLAGAJNIK,FRAM,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
DELO V SKLADIŠČU,KOMISIONIRANJE,KAMNIK,7.21,2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
BLAGAJNIK,Brez naslova,POSTOJNA,6.88,Brez podatka,POČITNIŠKO DELO,IZMENSKO,Brez podatka
STREŽBA,Brez naslova,LOGATEC,7.57,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA HRANE IN PIJAČE,Brez naslova,BREZOVICA PRI LJUBLJANI,8.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
DELO V AVTOPRALNICI,Brez naslova,KOPER,7.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA,Brez naslova,PORTOROŽ,9.0,3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
STREŽBA,Brez naslova,DOMŽALE,9.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
STREŽBA HRANE IN PIJAČE,Brez naslova,CERKNICA,8.5,Brez podatka,6. 9. 2025,MED VIKENDI,6. 9. 2025
DELO V KUHINJI,Brez naslova,LJUBLJANA,7.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
RAZVOZ,DOSTAVA HRANE,BREZOVICA PRI LJUBLJANI,7.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
DELO V KUHINJI,Brez naslova,BREZOVICA PRI LJUBLJANI,9.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
POMOČ V STREŽBI,Brez naslova,PACINJE,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA,Brez naslova,LJUBLJANA,8.5,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STROKOVNO DELO,STROKOVNA ADMINISTRATIVNA DELA,LJUBLJANA,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
POMOČ V STREŽBI,Brez naslova,KRANJSKA GORA,8.0,Brez podatka,SEZONSKO ALI PO DOGOVORU,IZMENSKO,Brez podatka
STREŽBA,Brez naslova,LJUBLJANA,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
PROMOCIJA,POSPEŠEVANJE PRODAJE,KOPER,6.32,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
POMOČ V KUHINJI,Brez naslova,PIRAN,7.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
STREŽBA,PRIPRAVA HRANE,PORTOROŽ,10.0,3,PO DOGOVORU,IZMENSKO,Brez podatka
POUČEVANJE,Brez naslova,MEDVODE,20.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
STREŽBA,BARISTA,LUCIJA,8.17,2,PO DOGOVORU,IZMENSKO,Brez podatka
STREŽBA,Brez naslova,BAKOVCI,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
DELO NA BENCINSKEM SERVISU,POLNJENJE POLIC IN BLAGAJNIK,ILIRSKA BISTRICA,7.12,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
POMOČ PRI PRODAJI,Brez naslova,LJUBLJANA,6.45,5,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POUČEVANJE,Brez naslova,MEDVODE,20.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POUČEVANJE,Brez naslova,MEDVODE,20.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
PISMONOŠA,Brez naslova,JESENICE,6.88,2,PO DOGOVORU,DOPOLDAN,Brez podatka
LAŽJA FIZIČNA DELA,DELO V PRALNICI,LJUBLJANA,6.5,2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
POMOČ V STREŽBI,Brez naslova,PORTOROŽ,8.0,2,PO DOGOVORU,IZMENSKO,Brez podatka
DELO V KUHINJI,Brez naslova,PORTOROŽ,9.0,2,PO DOGOVORU,IZMENSKO,Brez podatka
MEDICINSKA SESTRA,DELO V AMBULANTI,SEŽANA,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
STREŽBA HRANE IN PIJAČE,Brez naslova,LOČE,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
STREŽBA,Brez naslova,LJUBLJANA,6.5,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA,DELO V KAVARNI,ŠENTJUR PRI CELJU,8.0,2,PO DOGOVORU,IZMENSKO,12. 9. 2025
POMOČ V KUHINJI,PICOPEK,ZBILJE,9.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA,Brez naslova,MARIBOR,8.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
